"Subject" "Activity" "time Body Accelerometer   Mean -Z" "time Body Accelerometer   StandardDeviation-X" "time Body Accelerometer   StandardDeviation-Z" "time Gravity Accelerometer   Mean -X" "time Gravity Accelerometer   Mean -Z" "time Gravity Accelerometer   StandardDeviation-X" "time Gravity Accelerometer   StandardDeviation-Z" "time Body Accelerometer  Jerk Mean -X" "time Body Accelerometer  Jerk Mean -Z" "time Body Accelerometer  Jerk StandardDeviation-X" "time Body Accelerometer  Jerk StandardDeviation-Z" "time Body Gyroscope  Mean -X" "time Body Gyroscope  Mean -Z" "time Body Gyroscope  StandardDeviation-X" "time Body Gyroscope  StandardDeviation-Z" "time Body Gyroscope Jerk Mean -X" "time Body Gyroscope Jerk Mean -Z" "time Body Gyroscope Jerk StandardDeviation-X" "time Body Gyroscope Jerk StandardDeviation-Z" "time Body Accelerometer  Mag Mean " "time Body Accelerometer  Mag StandardDeviation" "time Body Accelerometer  JerkMag Mean " "time Body Accelerometer  JerkMag StandardDeviation" "time Body Gyroscope JerkMag Mean " "time Body Gyroscope JerkMag StandardDeviation" "FreqDomainSignals Body Accelerometer   Mean -Y" "FreqDomainSignals Body Accelerometer   StandardDeviation-Y" "FreqDomainSignals Body Accelerometer   Mean Freq-Y" "FreqDomainSignals Body Accelerometer  Jerk Mean -X" "FreqDomainSignals Body Accelerometer  Jerk Mean -Z" "FreqDomainSignals Body Accelerometer  Jerk StandardDeviation-X" "FreqDomainSignals Body Accelerometer  Jerk StandardDeviation-Z" "FreqDomainSignals Body Accelerometer  Jerk Mean Freq-X" "FreqDomainSignals Body Accelerometer  Jerk Mean Freq-Z" "FreqDomainSignals Body Gyroscope  Mean -Y" "FreqDomainSignals Body Gyroscope  StandardDeviation-Y" "FreqDomainSignals Body Gyroscope  Mean Freq-Y" "FreqDomainSignals Body Accelerometer  Mag Mean " "FreqDomainSignals Body Accelerometer  Mag StandardDeviation" "FreqDomainSignals Body Accelerometer  Mag Mean Freq" "FreqDomainSignals  Body   Gyroscope Mag Mean " "FreqDomainSignals  Body   Gyroscope Mag StandardDeviation" "FreqDomainSignals  Body   Gyroscope Mag Mean Freq"
1 "LAYING" -0.11320355358 -0.9280564692 -0.826061401628 -0.24888179828 0.4458177198 -0.8968300184 -0.85236629022 0.0810865342 0.010834236361 -0.958482112 -0.9548551108 -0.016553093978 0.14868943626 -0.87354386782 -0.9082846626 -0.107270949192 -0.0740501211 -0.9186085208 -0.9577901596 -0.8419291525 -0.79514486386 -0.9543962646 -0.9282456284 -0.96346103 -0.9358409828 -0.86706520518 -0.8336255561 0.097534841586 -0.9570738838 -0.9480609042 -0.9641607086 -0.9605869872 0.132419092398 0.02438794528 -0.9521914948 -0.9512320494 -0.091529130882 -0.8617676481 -0.7983009404 0.08640856294 -0.8621901854 -0.82431943968 -0.1397750127
2 "LAYING" -0.107245610416667 -0.974059464791667 -0.984233296875 -0.509754238125 0.646834879583333 -0.959014441458333 -0.984230418125 0.0825972511666667 -0.00180264895625 -0.98587216875 -0.988442014375 -0.01847660675 0.144882846104167 -0.988275232916667 -0.960306560416667 -0.101974134208333 -0.0701783020833333 -0.993235849166667 -0.98803582125 -0.977435485208333 -0.972873912916667 -0.987741696041667 -0.98551807625 -0.991767074166667 -0.989718095208333 -0.979800877916667 -0.981025105625 0.2572894655 -0.985813630833333 -0.986197134583333 -0.987250255833333 -0.989345368541667 0.159808328563875 0.190558218145833 -0.983321635416667 -0.981910616458333 0.04228066839375 -0.975110196458333 -0.975121387916667 0.2662982125 -0.972112972708333 -0.96109837875 0.01856447223125
3 "LAYING" -0.101300477506452 -0.982776639193548 -0.96369103483871 -0.241758478064516 0.48870318516129 -0.982512193064516 -0.964807543870968 0.0769811125806452 -0.00435625874355645 -0.98087931483871 -0.982093162903226 -0.0208170540330645 0.137999561112903 -0.974545752096774 -0.963505609032258 -0.10004449883871 -0.06873387 -0.980328645 -0.983338279516129 -0.972791346129032 -0.964218176451613 -0.979484593387097 -0.976121297903226 -0.98671362516129 -0.983139255645161 -0.961169982903226 -0.964094604193548 0.238470751435484 -0.980513202258064 -0.979122344354839 -0.983122615967742 -0.983711904677419 0.17597855438871 0.0448196905903226 -0.978099682258065 -0.977032495483871 -0.0266820108903226 -0.96552427516129 -0.968350217419355 0.236990127870968 -0.96458672483871 -0.955441855806452 -0.0229296114693548
4 "LAYING" -0.110688150314815 -0.954193738888889 -0.962667314814815 -0.420664662222222 0.341531310555556 -0.921199965925926 -0.976176608888889 0.0934494217777778 -0.00641054328740741 -0.978302781111111 -0.978511984259259 -0.00923156347222222 0.169720404092593 -0.973102422222222 -0.962073755 -0.105019877685185 -0.0712156288333333 -0.975103204259259 -0.983965359814815 -0.954557603148148 -0.931292216611111 -0.970095771666667 -0.960786430740741 -0.985068502037037 -0.982698213703704 -0.938883374444444 -0.946380971111111 0.366231448994444 -0.978542457407407 -0.975383329444444 -0.980079292592593 -0.980261236296296 0.182436483157407 0.0770211165 -0.972187839074074 -0.956182500185185 -0.526889995562963 -0.939389701296296 -0.937187975962963 0.241697899814815 -0.961556660185185 -0.947100325185185 -0.259851969798148
5 "LAYING" -0.107937603673077 -0.965934509615385 -0.968562516346154 -0.483470597692308 0.263644691923077 -0.945695336153846 -0.977076645 0.0848164824230769 -0.00304067159653846 -0.983307862115385 -0.985419368461538 -0.0218935013501923 0.159894366942308 -0.979498706538461 -0.960583776923077 -0.102114125 -0.07083096875 -0.983422257692308 -0.989679592307692 -0.966777882884615 -0.958612786346154 -0.980141253846154 -0.977477145384615 -0.9864194225 -0.98377138 -0.965419520961538 -0.972909186730769 0.466528231788462 -0.982689657115385 -0.983250309423077 -0.985625270384615 -0.986135599038461 0.239915157321154 0.0916938788480769 -0.978249645769231 -0.977257800961538 0.06812484775 -0.962234984038462 -0.962525369423077 0.292032094967308 -0.968257068846154 -0.959263063269231 0.102441765923077
6 "LAYING" -0.133119570368421 -0.934049422052632 -0.925216100350877 -0.47670987877193 0.175867709021053 -0.887746310350877 -0.928130738421053 0.0963481955263158 0.00328817288070175 -0.966341054736842 -0.959646055263158 -0.0079605026754386 0.179102058245614 -0.955378225087719 -0.939141878596491 -0.111267284631579 -0.0717774743859649 -0.939611608245614 -0.959579071578947 -0.918878850824561 -0.897326245964912 -0.954750504912281 -0.950341934385965 -0.955645738245614 -0.953157001578947 -0.923706791403509 -0.929711219929825 0.348418746140351 -0.967072436842105 -0.954425844736842 -0.968619159473684 -0.963567540877193 0.0114731894070175 0.0784684032122807 -0.941771544385965 -0.945365097894737 0.0236567802333333 -0.91235165222807 -0.905373979824561 0.1446050868 -0.930153639473684 -0.928694890175439 0.119317522942105
7 "LAYING" -0.101361036576923 -0.93651361 -0.952978365961539 -0.502814250576923 0.907537823461538 -0.914221270096154 -0.961908984423077 0.0968904018076923 -0.0131653918205769 -0.980977756153846 -0.972983064230769 -0.00282641913096154 0.155920029769231 -0.9601268225 -0.955294890576923 -0.105944243484615 -0.0671901794615385 -0.9738372325 -0.988871878269231 -0.936392023846154 -0.907039513153846 -0.980127239615385 -0.967310932307692 -0.983008829038462 -0.971205137884615 -0.942193953846154 -0.922917902307692 -0.0438292665807692 -0.980393046923077 -0.969524977692308 -0.983560175384615 -0.975072995192308 0.0207159202961538 0.0945605852 -0.957570207692308 -0.939727873653846 -0.453725644769231 -0.927976880634615 -0.910542462919231 -0.129091025169231 -0.941130719230769 -0.918892518653846 -0.265784491092308
8 "LAYING" -0.102245365611111 -0.94304121537037 -0.932491454407407 -0.405930036111111 0.719831539259259 -0.918873192333333 -0.94183626337037 0.0878326902592593 -0.0169218791344444 -0.973253042222222 -0.96608757462963 0.00535361206851852 0.13818830737037 -0.965204017592593 -0.96758975462963 -0.106445008314815 -0.0694123150925926 -0.969924077407407 -0.987601203703704 -0.935308633888889 -0.91325033 -0.97314748962963 -0.962954517222222 -0.978438191296296 -0.969029111666667 -0.951816663703704 -0.931236756962963 0.00539754357407408 -0.973110596111111 -0.962111136666667 -0.975959911481481 -0.968699222962963 0.164984298959259 0.120248739635185 -0.957411160185185 -0.950316470925926 -0.199880205519074 -0.932279645518518 -0.917257979425926 0.0484988463518519 -0.944528950555556 -0.93678697 -0.0620563752462963
9 "LAYING" -0.10754972144 -0.94233309 -0.9407072854 -0.5802528348 0.9578730416 -0.9218210626 -0.9712046902 0.08807344764 -0.0070536778584 -0.9647404702 -0.958562455 -0.013632036148 0.101275010682 -0.9422465098 -0.9615953704 -0.10384667982 -0.0569490475 -0.945329035 -0.9770761602 -0.9308684376 -0.91512680016 -0.9633745492 -0.9550268052 -0.964524819 -0.9528015598 -0.9343665984 -0.9128367508 -0.215336752654 -0.964304065 -0.955909215 -0.9686013042 -0.9597147176 -0.08503093738 -0.094374360132 -0.9345796594 -0.9231319366 -0.321206958058 -0.9266042952 -0.921929738394 -0.085609052452 -0.9186053356 -0.9034005814 -0.20634356866
10 "LAYING" -0.117168642362069 -0.968283685 -0.95947148637931 -0.453069737586207 -0.031121624137931 -0.954531941896552 -0.963045642431035 0.073815064487931 0.00716689586275862 -0.978007466724138 -0.976256662586207 -0.019555937162069 0.104720478344828 -0.961713199827586 -0.971940597413793 -0.100308254413793 -0.0590744912758621 -0.965900578103448 -0.983949302758621 -0.956781819655172 -0.940301654482759 -0.976234435172414 -0.967556980689655 -0.970830848965517 -0.959632931551724 -0.954341849137931 -0.946229148258621 0.200554088396552 -0.979014668793104 -0.972592212931034 -0.978904364137931 -0.978582339137931 0.0485572099491379 0.146112721943103 -0.954670034482759 -0.953453496551724 0.0713125646482759 -0.950848109137931 -0.944304974655172 0.260388946262069 -0.937692642586207 -0.933701315344828 0.216535434472414
